"","HGNC.ID","Approved.symbol"
"278","HGNC:146","ACTG1P1"
"279","HGNC:147","ACTG1P2"
"280","HGNC:148","ACTG1P3"
"281","HGNC:149","ACTG1P4"
"282","HGNC:151","ACTG1P6"
"283","HGNC:152","ACTG1P7"
"284","HGNC:153","ACTG1P8"
"285","HGNC:154","ACTG1P9"
"286","HGNC:155","ACTG1P10"
"287","HGNC:37651","ACTG1P11"
"288","HGNC:44496","ACTG1P12"
"289","HGNC:49058","ACTG1P13"
"290","HGNC:49751","ACTG1P14"
"291","HGNC:51495","ACTG1P15"
"292","HGNC:51496","ACTG1P16"
"293","HGNC:51497","ACTG1P17"
"294","HGNC:51498","ACTG1P18"
"295","HGNC:51499","ACTG1P19"
"296","HGNC:51500","ACTG1P20"
"297","HGNC:51501","ACTG1P21"
"298","HGNC:51502","ACTG1P22"
"299","HGNC:51503","ACTG1P23"
"300","HGNC:49661","ACTG1P24"
"301","HGNC:145","ACTG2"
"302","HGNC:158","ACTL4"
"303","HGNC:159","ACTL5"
"304","HGNC:24124","ACTL6A"
"305","HGNC:160","ACTL6B"
"306","HGNC:161","ACTL7A"
"307","HGNC:162","ACTL7B"
"308","HGNC:24018","ACTL8"
"309","HGNC:28494","ACTL9"
"310","HGNC:16127","ACTL10"
"311","HGNC:163","ACTN1"
"312","HGNC:20131","ACTN1-AS1"
"313","HGNC:164","ACTN2"
"314","HGNC:165","ACTN3"
"315","HGNC:166","ACTN4"
"316","HGNC:44028","ACTN4P1"
"317","HGNC:44032","ACTN4P2"
"318","HGNC:51621","ACTP1"
"319","HGNC:167","ACTR1A"
"320","HGNC:168","ACTR1B"
"321","HGNC:169","ACTR2"
"322","HGNC:170","ACTR3"
"323","HGNC:17256","ACTR3B"
"324","HGNC:37724","ACTR3BP1"
"325","HGNC:38677","ACTR3BP2"
"326","HGNC:38678","ACTR3BP3"
"327","HGNC:38681","ACTR3BP4"
"328","HGNC:38682","ACTR3BP5"
"329","HGNC:38683","ACTR3BP6"
"330","HGNC:37282","ACTR3C"
"331","HGNC:31820","ACTR3P1"
"332","HGNC:38676","ACTR3P2"
"333","HGNC:38679","ACTR3P3"
"334","HGNC:14671","ACTR5"
"335","HGNC:24025","ACTR6"
"336","HGNC:44210","ACTR6P1"
"337","HGNC:14672","ACTR8"
"338","HGNC:17372","ACTR10"
"339","HGNC:24027","ACTRT1"
"340","HGNC:24026","ACTRT2"
"341","HGNC:24022","ACTRT3"
"342","HGNC:171","ACVR1"
"343","HGNC:172","ACVR1B"
"344","HGNC:18123","ACVR1C"
"345","HGNC:173","ACVR2A"
"346","HGNC:174","ACVR2B"
"347","HGNC:44161","ACVR2B-AS1"
"348","HGNC:175","ACVRL1"
"349","HGNC:177","ACY1"
"350","HGNC:24104","ACY3"
"351","HGNC:179","ACYP1"
"352","HGNC:180","ACYP2"
"353","HGNC:185","AD5"
"354","HGNC:186","ADA"
"355","HGNC:30713","ADAD1"
"356","HGNC:44550","ADAD1P1"
"357","HGNC:44552","ADAD1P2"
"358","HGNC:30714","ADAD2"
"359","HGNC:31853","ADAL"
"360","HGNC:187","ADAM1A"
"361","HGNC:44366","ADAM1B"
"362","HGNC:198","ADAM2"
"363","HGNC:209","ADAM3A"
"364","HGNC:210","ADAM3B"
"365","HGNC:212","ADAM5"
"366","HGNC:213","ADAM6"
"367","HGNC:214","ADAM7"
"368","HGNC:215","ADAM8"
"369","HGNC:216","ADAM9"
"370","HGNC:188","ADAM10"
"371","HGNC:189","ADAM11"
"372","HGNC:190","ADAM12"
"373","HGNC:43841","ADAM12-OT1"
"374","HGNC:193","ADAM15"
"375","HGNC:195","ADAM17"
"376","HGNC:196","ADAM18"
"377","HGNC:197","ADAM19"
"378","HGNC:199","ADAM20"
"379","HGNC:20102","ADAM20P1"
"380","HGNC:43901","ADAM20P2"
"381","HGNC:43902","ADAM20P3"
"382","HGNC:200","ADAM21"
"383","HGNC:19822","ADAM21P1"
"384","HGNC:201","ADAM22"
"385","HGNC:202","ADAM23"
"386","HGNC:203","ADAM24P"
"387","HGNC:206","ADAM28"
